,,,,,,,,,,,,,,,,,,,,,
INDICADOR COMPUESTO DE ACTIVIDAD PARA LA CIUDAD DE MÁLAGA,,,,,,,,,,,,,,,,,,,,,
(Base 100= 1er trimestre 2005),,,,,,,,,,,,,,,,,,,,,
Fuente: Analistas Económicos de Andalucía,,,,,,,,,,,,,,,,,,,,,
,,Dato,Tasa de variación interanual en %,,,,,,,,,,,,,,,,,,
,2005,103,,,,,,,,,,,,,,,,,,,
,2006,109,"6,2260",,,,,,,,,,,,,,,,,,
,2007,112,"2,6993",,,,,,,,,,,,,,,,,,
,2008,110,"-1,4900",,,,,,,,,,,,,,,,,,
,2009,105,"-4,5038",,,,,,,,,,,,,,,,,,
,2010,105,"-0,6981",,,,,,,,,,,,,,,,,,
,2011,103,"-2,0290",,,,,,,,,,,,,,,,,,
,2012,102,"-0,9818",,,,,,,,,,,,,,,,,,
,2013,102,"0,1049",,,,,,,,,,,,,,,,,,
,2014,104,"2,4620",,,,,,,,,,,,,,,,,,
,2015,108,"3,4377",,,,,,,,,,,,,,,,,,
,2016,112,"3,9710",,,,,,,,,,,,,,,,,,
,2017,117,"4,1747",,,,,,,,, ,,,,,,,,,
,2018,121,"3,7838",,,,,,,,,,,,,,,,,,
,2019,125,"3,2725",,,,,,,,,,,,,,,,,,
,2020,112,"-10,7506",,,,,,,,,,,,,,,,,,
,2021,121,"8,0212",,,,,,,,,,,,,,,,,,
,2022,130,"8,1460",,,,,,,,,,,,,,,,,,
,2023,136,"3,9448",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
RENTAS NETAS DECLARADAS IRPF            ,,,,,,,,,,,,,,,,,,,,,
(Euros/ habitantes),,,,,,,,,,,,,,,,,,,,,
"Fuente: Sistema Información Multiterritorial de Andalucía (SIMA), IECA",,,,,,,,,,,,,,,,,,,,,
,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,
,2000,4.834,2.364,1.402,5.161,2.436,2.080,1.905,4.229,4.395,3.298,2.386,5.902,1.632,4.647,4.289,2.208,2.899,3.894,3.734,
,2001,5.272,2.718,1.637,5.637,2.863,2.372,2.201,4.668,4.985,3.655,2.769,6.196,1.989,5.001,4.831,2.744,3.366,4.413,4.249,
,2002,5.621,2.965,1.827,5.804,3.151,2.714,2.424,4.824,5.363,3.841,3.258,6.828,2.199,5.020,5.181,2.987,3.803,4.596,4.564,
,2003,5.813,3.102,1.891,5.841,3.181,2.896,2.652,4.915,5.682,3.873,3.345,6.805,2.448,5.121,5.433,3.126,3.847,4.963,4.812,
,2004,6.136,3.234,2.065,6.280,3.627,3.074,2.940,5.067,6.035,4.382,3.625,7.422,2.379,5.425,5.786,3.260,4.194,5.316,5.197,
,2005,6.737,3.487,2.170,6.794,4.195,3.643,3.251,5.115,6.386,4.779,3.761,8.364,2.484,5.779,6.168,3.446,4.310,5.624,5.492,
,2006,7.011,3.729,2.478,6.896,4.532,3.778,3.474,5.474,6.974,5.131,4.174,8.847,2.854,5.969,6.652,3.704,4.711,6.059,5.920,
,2007,8.209,3.917,3.029,8.010,4.836,4.292,3.747,6.303,7.866,5.982,4.229,9.943,3.031,6.851,7.490,3.526,4.790,6.862,6.947,
,2008,8.562,4.279,3.067,7.849,5.733,4.593,4.509,5.978,8.068,5.679,5.032,10.609,3.254,7.118,7.737,4.183,5.302,6.950,7.134,
,2009,7.410,3.643,2.941,6.614,5.175,4.204,3.578,4.956,7.195,4.811,4.599,9.746,3.150,6.186,6.659,3.717,4.583,6.039,6.357,
