,,,,,,,,,,,,,,,,,,,,,
POBLACIÓN TOTAL,,,,,,,,,,,,,,,,,,,,,
(Número de habitantes),,,,,,,,,,,,,,,,,,,,,
"Fuente: Gestrisam, Padrón municipal,  Ayuntamiento de Málaga",,,,,,,,,,,,,,,,,,,,,
,, TOTAL,Hombres,Mujeres,,,,,,,,,,,,,,,,,
,2004,558.265,269.582,288.683,,,,,,,,,,,,,,,,,
,2005,560.755,271.154,289.601,,,,,,,,,,,,,,,,,
,2006,573.909,278.029,295.880,,,,,,,,,,,,,,,,,
,2007,574.353,277.706,296.647,,,,,,,,,,,,,,,,,
,2008,576.725,278.745,297.980,,,,,,,,,,,,,,,,,
,2009,577.884,279.111,298.773,,,,,,,,,,,,,,,,,
,2010,577.095,278.296,298.799,,,,,,,,,,,,,,,,,
,2011,576.938,277.880,299.058,,,,,,,,,,,,,,,,,
,2012,575.322,276.858,298.464,,,,,,,,,,,,,,,,,
,2013,575.127,276.879,298.248,,,,,,,,,,,,,,,,,
,2014,572.267,275.523,296.744,,,,,,,,,,,,,,,,,
,2015,572.947,275.916,297.031,,,,,,,,,,,,,,,,,
,2016,571.069,274.769,296.300,,,,,,,,,,,,,,,,,
,2017,570.006,274.177,295.829,,,,,,,,,,,,,,,,,
,2018,573.832,275.899,297.933,,,,,,,,,,,,,,,,,
,2019,576.094,276.797,299.297,,,,,,,,,,,,,,,,,
,2020,580.469,278.895,301.574,,,,,,,,,,,,,,,,,
,2021,579.984,278.592,301.392,,,,,,,,,,,,,,,,,
,2022,580.032,278.601,301.431,,,,,,,,,,,,,,,,,
,2023,586.770,281.499,305.271,,,,,,,,,,,,,,,,,
,2024,593.333,284.556,308.777,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
POBLACIÓN TOTAL                  ,,,,,,,,,,,,,,,,,,,,,
(Número de habitantes),,,,,,,,,,,,,,,,,,,,,
"Fuente: Padrón municipal, INE",,,,,,,,,,,,,,,,,,,,,
,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2000,21.649,17.021,4.072,31.964,13.188,3.003,3.124,47.914,531.565,41.912,6.608,23.029,616,41.281,727.497,12.509,17.868,1.278.851,7.340.052,40.499.786
,2001,22.654,17.488,4.093,33.557,13.483,3.016,3.146,50.263,534.207,44.741,6.593,24.224,618,43.613,737.161,12.471,17.998,1.302.240,7.403.968,41.116.843
,2002,23.774,17.941,4.108,35.946,13.900,2.979,3.137,53.270,535.686,47.565,6.600,25.682,628,46.683,747.857,12.538,18.255,1.330.010,7.478.432,41.837.888
,2003,25.401,18.797,4.269,40.064,14.783,2.942,3.167,57.133,547.105,52.189,6.940,28.007,624,50.649,774.700,12.739,19.213,1.374.890,7.606.848,42.717.064
,2004,26.764,19.324,4.244,42.437,15.524,3.127,3.197,58.957,547.731,52.573,7.165,30.169,679,52.354,784.848,12.838,19.295,1.397.925,7.687.518,43.197.684
,2005,28.509,20.074,4.313,45.686,16.692,3.240,3.287,62.915,558.287,56.838,7.555,31.996,699,55.479,808.946,13.013,20.116,1.453.409,7.849.799,44.108.530
,2006,30.281,21.070,4.309,50.298,17.690,3.364,3.384,63.899,560.631,61.147,7.812,33.817,707,58.683,825.801,13.204,20.551,1.491.287,7.975.672,44.708.964
,2007,31.884,21.776,4.299,52.217,18.865,3.421,3.530,65.421,561.250,64.288,8.129,35.714,704,60.010,835.976,13.307,20.870,1.517.523,8.059.461,45.200.737
,2008,33.567,22.785,4.316,55.960,20.436,3.509,3.625,68.646,566.447,70.437,8.652,37.145,724,63.077,855.163,13.436,21.484,1.563.261,8.202.220,46.157.822
,2009,35.114,23.319,4.298,58.854,21.313,3.520,3.621,71.482,568.305,73.787,8.785,38.666,722,65.448,867.226,13.395,21.866,1.593.068,8.302.923,46.745.807
,2010,35.832,23.675,4.257,61.383,22.173,3.554,3.681,71.783,568.507,76.362,8.990,39.922,737,66.957,987.813,13.474,22.030,1.609.557,8.370.975,47.021.031
,2011,36.730,23.807,4.221,63.788,22.867,3.675,3.673,74.054,568.030,79.262,9.137,40.339,768,68.181,998.532,13.499,22.159,1.625.827,8.424.102,47.190.493
,2012,37.446,24.074,4.195,65.965,23.664,3.686,3.624,75.953,567.433,82.124,9.269,41.216,746,68.961,1.008.356,13.399,21.791,1.641.098,8.449.985,47.265.321
,2013,38.067,24.249,4.168,69.002,24.242,3.651,3.583,77.397,568.479,85.600,9.298,41.827,736,69.389,1.019.688,13.342,22.536,1.652.999,8.440.300,47.129.783
,2014,38.300,24.210,3.906,66.939,24.328,3.498,3.486,75.856,566.913,77.521,9.201,42.688,723,67.353,1.004.922,13.046,21.553,1.621.968,8.402.305,46.771.341
,2015,38.523,24.338,3.826,66.598,24.592,3.418,3.444,77.525,569.130,79.483,9.148,43.135,710,67.492,1.011.362,13.003,21.561,1.628.973,8.399.043,46.624.382
,2016,38.794,24.315,3.786,67.245,24.824,3.443,3.385,77.486,569.009,77.769,9.106,44.003,707,67.786,1.011.658,12.941,21.456,1.629.298,8.388.107,46.557.008
,2017,39.153,24.720,3.765,68.859,25.317,3.442,3.383,74.929,569.002,77.151,9.073,45.138,710,67.701,1.012.343,12.924,21.562,1.630.615,8.379.820,46.572.132
,2018,39.911,24.123,3.770,67.746,25.758,3.507,3.392,75.396,571.026,80.630,9.118,46.093,715,68.262,1.019.447,12.951,21.716,1.641.121,8.384.408,46.722.980
,2019,40.345,24.705,3.715,68.128,26.259,3.522,3.376,80.309,574.654,82.742,9.226,47.179,746,68.661,1.033.567,12.985,22.147,1.661.785,8.414.240,47.026.208
,2020,41.170,25.358,3.792,69.144,26.738,3.629,3.409,82.837,578.460,85.397,9.444,48.768,737,69.166,1.048.049,13.112,22.673,1.685.920,8.464.411,47.450.795
,2021,41.868,26.095,3.859,70.204,27.436,3.712,3.450,82.585,577.405,86.744,9.572,49.790,725,68.056,1.048.049,13.336,23.375,1.695.651,8.472.407,47.385.107
,2022,42.531,26.436,3.885,73.160,27.712,3.813,3.488,83.226,579.076,89.502,9.661,50.569,750,68.819,1.062.628,13.382,24.309,1.717.504,8.500.187,47.475.420
,2023,43.674,26.879,3.967,75.801,28.412,3.910,3.494,85.598,586.384,91.691,9.886,51.300,767,70.434,1.082.197,13.512,25.023,1.751.600,8.568.513,48.022.515
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DENSIDAD DE POBLACIÓN,,,,,,,,,,,,,,,,,,,,,
(Nº de habitantes/ superficie total (km2)),,,,,,,,,,,,,,,,,,,,,
"Fuente: Gestrisam, Ayuntamiento de Málaga e IECA",,,,,,,,,,,,,,,,,,,,,
,,Población,Superficie,Densidad población,,,,,,,,,,,,,,,,,
,2004,558.265,395,1.413,,,,,,,,,,,,,,,,,
,2005,560.755,395,1.419,,,,,,,,,,,,,,,,,
,2006,573.909,395,1.452,,,,,,,,,,,,,,,,,
,2007,574.353,395,1.454,,,,,,,,,,,,,,,,,
,2008,576.725,395,1.460,,,,,,,,,,,,,,,,,
,2009,577.884,395,1.463,,,,,,,,,,,,,,,,,
,2010,577.095,395,1.461,,,,,,,,,,,,,,,,,
,2011,576.938,395,1.460,,,,,,,,,,,,,,,,,
,2012,575.322,395,1.456,,,,,,,,,,,,,,,,,
,2013,575.127,395,1.456,,,,,,,,,,,,,,,,,
,2014,572.267,395,1.448,,,,,,,,,,,,,,,,,
,2015,572.947,395,1.450,,,,,,,,,,,,,,,,,
,2016,571.069,395,1.445,,,,,,,,,,,,,,,,,
,2017,570.006,395,1.443,,,,,,,,,,,,,,,,,
,2018,573.832,395,1.452,,,,,,,,,,,,,,,,,
,2019,576.094,395,1.458,,,,,,,,,,,,,,,,,
,2020,580.469,395,1.470,,,,,,,,,,,,,,,,,
,2021,579.984,395,1.469,,,,,,,,,,,,,,,,,
,2022,580.032,395,1.469,,,,,,,,,,,,,,,,,
,2023,586.770,395,1.486,,,,,,,,,,,,,,,,,
,2024,593.333,395,1.503,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DENSIDAD DE POBLACIÓN                  ,,,,,,,,,,,,,,,,,,,,,
(Nº de habitantes/ superficie total (km2)),,,,,,,,,,,,,,,,,,,,,
"Fuente: Padrón municipal, INE e IECA",,,,,,,,,,,,,,,,,,,,,
,,Alhaurín de la Torre,Alhaurín el Grande,Almogía,Benalmádena,Cártama,Casabermeja,Colmenar,Fuengirola,Málaga,Mijas,Pizarra,Rincón de la Victoria,Totalán,Torremolinos,Área Metropolitana,Álora,Coín,Provincia,Andalucía,España
,2000,262,233,25,1.189,125,45,47,4.620,1.345,282,104,809,67,2.074,521,74,140,175,84,80
,2001,274,239,25,1.248,128,45,48,4.847,1.352,301,104,851,67,2.192,528,74,141,178,85,81
,2002,287,245,25,1.337,132,44,48,5.137,1.356,320,104,902,68,2.346,535,74,143,182,85,83
,2003,307,257,26,1.490,141,44,48,5.509,1.385,351,109,983,68,2.545,554,75,151,188,87,84
,2004,324,264,26,1.579,148,46,48,5.685,1.386,353,113,1.059,74,2.631,562,76,151,191,88,85
,2005,345,275,26,1.700,159,48,50,6.067,1.413,382,119,1.123,76,2.788,579,77,158,199,90,87
,2006,366,288,26,1.871,168,50,51,6.162,1.419,411,123,1.187,77,2.949,591,78,161,204,91,88
,2007,386,298,26,1.943,179,51,54,6.309,1.420,432,128,1.254,76,3.016,598,78,164,208,92,89
,2008,406,312,26,2.082,194,52,55,6.620,1.434,473,136,1.304,79,3.170,612,79,169,214,94,91
,2009,425,319,26,2.190,203,52,55,6.893,1.438,496,138,1.358,78,3.289,621,79,172,218,95,92
,2010,433,324,26,2.284,211,53,56,6.922,1.439,513,141,1.402,80,3.365,784,79,173,220,96,93
,2011,444,326,26,2.373,218,55,56,7.141,1.438,533,144,1.416,83,3.426,793,80,174,222,96,93
,2012,453,329,26,2.454,225,55,55,7.324,1.436,552,146,1.447,81,3.465,801,79,171,225,96,93
,2013,460,332,26,2.567,231,54,54,7.464,1.439,575,146,1.469,80,3.487,810,79,177,226,96,93
,2014,463,331,24,2.490,231,52,53,7.315,1.435,521,145,1.499,79,3.385,798,77,169,222,96,92
,2015,466,333,23,2.476,234,51,52,7.454,1.440,534,144,1.514,36,7.336,803,77,169,223,96,92
,2016,469,333,23,2.500,236,51,51,7.451,1.440,523,143,1.544,36,7.368,803,76,168,223,96,92
,2017,473,338,23,2.560,241,51,51,7.205,1.440,518,143,1.584,36,7.359,804,76,169,223,96,92
,2018,483,330,23,2.521,245,52,51,7.278,1.446,542,143,1.620,36,7.420,810,76,171,225,96,92
,2019,488,338,23,2.535,250,52,51,7.752,1.455,556,145,1.658,37,7.463,821,77,174,227,96,93
,2020,498,347,23,2.580,254,54,52,8.038,1.465,574,148,1.750,80,3.480,833,77,178,231,97,94
,2021,506,357,24,2.620,261,55,52,8.013,1.462,583,151,1.786,79,3.424,833,79,184,232,97,94
,2022,514,362,24,2.730,264,57,53,8.075,1.466,602,152,1.814,82,3.463,845,79,191,235,97,94
,2023,528,368,24,2.828,270,58,53,8.306,1.485,617,155,1.841,83,3.544,860,80,197,240,98,95
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
POBLACIÓN EXTRANJERA,,,,,,,,,,,,,,,,,,,,,
(Número de habitantes extranjeros),,,,,,,,,,,,,,,,,,,,,
"Fuente: Gestrisam, Ayuntamiento de Málaga",,,,,,,,,,,,,,,,,,,,,
,, TOTAL,Hombres,Mujeres,,,,,,,,,,,,,,,,,
,2004,23.515,12.300,11.215,,,,,,,,,,,,,,,,,
,2005,30.233,15.839,14.394,,,,,,,,,,,,,,,,,
,2006,39.289,20.859,18.430,,,,,,,,,,,,,,,,,
,2007,37.843,19.585,18.258,,,,,,,,,,,,,,,,,
,2008,43.252,22.041,21.211,,,,,,,,,,,,,,,,,
,2009,46.158,23.365,22.793,,,,,,,,,,,,,,,,,
,2010,47.769,23.938,23.831,,,,,,,,,,,,,,,,,
,2011,50.989,25.526,25.463,,,,,,,,,,,,,,,,,
,2012,49.737,24.923,24.814,,,,,,,,,,,,,,,,,
,2013,52.145,26.165,25.980,,,,,,,,,,,,,,,,,
,2014,49.317,24.832,24.485,,,,,,,,,,,,,,,,,
,2015,46.506,23.500,23.006,,,,,,,,,,,,,,,,,
