Nombre;Codigo_Postal;Calle;Municipio;Distrito;Latitud;Longitud;Provincia;Pais;Tipo_Cocina;Sitio_Web;Direccion_Completa
Chino Chang;29640.0;Calle Rio Guadalhorce;Fuengirola;Los Boliches;36.5573544;-4.6133958;Costa del Sol Occidental;España;No especificado;No disponible;Chino Chang, Calle Rio Guadalhorce, Los Boliches, Fuengirola, Costa del Sol Occidental, Málaga, Andalucía, 29640, España
El Mirlo Blanco;29650.0;Calle Cuesta de la Villa;Mijas;;36.5942341;-4.6387693;Costa del Sol Occidental;España;No especificado;No disponible;El Mirlo Blanco, Calle Cuesta de la Villa, Mijas Pueblo, Las Lomas de Mijas, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Mirasol;29640.0;Calle Virgen de Montserrat;Mijas;;36.5372141;-4.6306502;Costa del Sol Occidental;España;No especificado;No disponible;Mirasol, Calle Virgen de Montserrat, Las Lagunas, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29640, España
Jamaica;29620.0;Calle Jamaica;Torremolinos;;36.619667;-4.5071512;Costa del Sol Occidental;España;No especificado;No disponible;Jamaica, Calle Jamaica, Torremolinos, Costa del Sol Occidental, Málaga, Andalucía, 29620, España
La Biznaga;29620.0;Plaza de la Nogalera;Torremolinos;;36.6220886;-4.4993663;Costa del Sol Occidental;España;No especificado;No disponible;La Biznaga, Plaza de la Nogalera, Torremolinos, Costa del Sol Occidental, Málaga, Andalucía, 29620, España
El Puente;29510.0;;Álora;;36.8162481;-4.6964539;Valle del Guadalhorce;España;No especificado;No disponible;El Puente, Álora, Valle del Guadalhorce, Málaga, Andalucía, 29510, España
Las Palmeras;29016.0;;Málaga;Las Palmeras;36.7270048;-4.401036;Málaga-Costa del Sol;España;No especificado;No disponible;Las Palmeras, Este, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29016, España
Da Vinci;29650.0;Autovía del Mediterráneo;Mijas;Urbanización Sitio de Calahonda;36.4891291;-4.7121188;Costa del Sol Occidental;España;No especificado;No disponible;Da Vinci, Autovía del Mediterráneo, Villapinos, Urbanización Sitio de Calahonda, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29650, España
Las Viñas;29649.0;;Mijas;Las Viñas;36.4945615;-4.6914431;Costa del Sol Occidental;España;No especificado;No disponible;Las Viñas, La Cala, Mijas, Costa del Sol Occidental, Málaga, Andalucía, 29649, España
Kalifato;29639.0;Playa de Carvajal;Benalmádena;;36.5727694;-4.5880928;Costa del Sol Occidental;España;No especificado;No disponible;Kalifato, Sendero de Playa Carvajal, Carvajal, La Capellanía, Benalmádena, Costa del Sol Occidental, Málaga, Andalucía, 29639, España
