grupo,municipio,anio,poblacion,pct_poblacion,densidad_pob_norm
alhaurindelatorre,Alhaurín de la Torre,2023,43674,3.9,0.0733
alhaurinelgrande,Alhaurín el Grande,2023,26879,2.4,0.0446
almogia,Almogía,2023,3967,0.35,0.0055
benalmadena,Benalmádena,2023,75801,6.76,0.1281
cartama,Cártama,2023,28412,2.54,0.0472
casabermeja,Casabermeja,2023,3910,0.35,0.0054
colmenar,Colmenar,2023,3494,0.31,0.0047
fuengirola,Fuengirola,2023,85598,7.64,0.1449
malaga,Málaga,2023,586384,52.32,1.0
mijas,Mijas,2023,91691,8.18,0.1553
pizarra,Pizarra,2023,9886,0.88,0.0156
rincondelavictoria,Rincón de la Victoria,2023,51300,4.58,0.0863
totalan,Totalán,2023,767,0.07,0.0
torremolinos,Torremolinos,2023,70434,6.28,0.119
alora,Álora,2023,13512,1.21,0.0218
coin,Coín,2023,25023,2.23,0.0414
