grupo,num_restaurantes,lat,lon,pct_restaurantes,densidad_rest_norm
alhaurindelatorre,17,36.66159815882353,-4.563490805882353,1.32,0.0239
alhaurinelgrande,5,36.641137459999996,-4.69016692,0.39,0.0034
almogia,4,36.765432625,-4.6053864749999995,0.31,0.0017
alora,4,36.8447911,-4.7291261250000005,0.31,0.0017
benalmadena,174,36.596119803448275,-4.537309602873563,13.54,0.2913
cartama,4,36.715926725,-4.643440699999999,0.31,0.0017
coin,9,36.667498933333334,-4.751862755555555,0.7,0.0102
colmenar,12,36.89735661666666,-4.343664341666667,0.93,0.0153
fuengirola,143,36.54584893916084,-4.6180587118881125,11.13,0.2385
malaga,590,36.72038483236798,-4.424071535093696,45.91,1.0
mijas,138,36.52739148188406,-4.67436031231884,10.74,0.23
rincondelavictoria,21,36.71537656190476,-4.285169623809524,1.63,0.0307
torremolinos,161,36.62482893726708,-4.496966680124224,12.53,0.2692
totalan,3,36.75237056666667,-4.317506633333333,0.23,0.0
